,operator_id,direction,calls_count,call_duration,is_missed_call,time_waiting,mean_duration,mean_waiting,calls_count_out,calls_missed_time_waiting,eficiente
62,918986,out,1397,57954,45,28104,41.484609878310664,20.117394416607016,efficient,efficient,True
63,918978,out,1239,58314,45,23087,47.06537530266344,18.63357546408394,efficient,efficient,True
64,914052,out,1368,24819,45,23026,18.142543859649123,16.83187134502924,efficient,efficient,True
65,928312,out,1851,53772,45,22253,29.050243111831442,12.02215018908698,efficient,efficient,True
66,902746,out,2452,134638,44,48559,54.909461663947795,19.803833605220227,efficient,efficient,True
67,931458,out,2363,85779,44,41218,36.300888700804066,17.443080829454082,efficient,efficient,True
68,902510,out,1842,132844,44,37218,72.11943539630836,20.205211726384366,efficient,efficient,True
69,906394,out,520,49012,44,3945,94.25384615384615,7.586538461538462,efficient,efficient,True
70,905574,out,428,14674,44,3695,34.28504672897196,8.633177570093459,efficient,efficient,True
71,924960,out,230,16215,44,3659,70.5,15.908695652173913,efficient,efficient,True
72,926486,out,2280,192350,43,51067,84.3640350877193,22.397807017543858,efficient,efficient,True
73,884412,out,748,43981,43,14811,58.79812834224599,19.800802139037433,efficient,efficient,True
74,891988,out,474,43855,43,7102,92.5210970464135,14.983122362869198,efficient,efficient,True
75,905932,out,334,36186,43,3453,108.34131736526946,10.338323353293413,efficient,efficient,True
76,907224,out,299,27734,43,3223,92.75585284280936,10.779264214046822,efficient,efficient,True
77,909910,out,318,29930,43,2922,94.11949685534591,9.18867924528302,efficient,efficient,True
78,893674,out,2468,58092,41,45949,23.53808752025932,18.617909238249595,efficient,efficient,True
79,884478,out,2270,48398,41,36008,21.320704845814976,15.862555066079295,efficient,efficient,True
80,906400,out,426,22941,41,3021,53.852112676056336,7.091549295774648,efficient,efficient,True
81,890420,out,695,112721,40,12838,162.1884892086331,18.471942446043165,efficient,efficient,True
82,906294,out,290,26965,40,3477,92.98275862068965,11.989655172413793,efficient,efficient,True
83,929424,out,3963,130859,39,62040,33.02018672722685,15.654806964420894,efficient,efficient,True
84,952948,out,1178,74351,39,15932,63.11629881154499,13.524617996604414,efficient,efficient,True
85,928888,out,553,37797,38,12784,68.3490054249548,23.11754068716094,efficient,efficient,True
86,900894,out,218,15152,38,3348,69.5045871559633,15.357798165137615,efficient,efficient,True
87,884946,out,1847,40042,37,39262,21.679480238224148,21.2571737953438,efficient,efficient,True
88,921306,out,542,18666,37,12378,34.43911439114391,22.837638376383765,efficient,efficient,True
89,930020,out,555,188142,37,12092,338.9945945945946,21.787387387387387,efficient,efficient,True
90,923528,out,638,18657,37,11474,29.24294670846395,17.984326018808776,efficient,efficient,True
91,912296,out,483,32068,37,5779,66.39337474120083,11.9648033126294,efficient,efficient,True
92,891158,out,264,96481,37,4021,365.4583333333333,15.231060606060606,efficient,efficient,True
93,945296,out,2434,169875,36,45229,69.79252259654889,18.58216926869351,efficient,efficient,True
94,904038,out,215,17184,36,3047,79.92558139534884,14.172093023255814,efficient,efficient,True
95,918452,out,313,26040,36,2859,83.19488817891374,9.134185303514377,efficient,efficient,True
96,945302,out,6138,323488,35,135427,52.702508960573475,22.063701531443467,efficient,efficient,True
97,902782,out,1302,161344,35,30444,123.92012288786482,23.382488479262673,efficient,efficient,True
98,902742,out,1173,133353,35,23745,113.6854219948849,20.242966751918157,efficient,efficient,True
99,928886,out,681,221611,35,14843,325.41997063142435,21.79588839941263,efficient,efficient,True
100,924950,out,287,28998,35,5069,101.0383275261324,17.662020905923345,efficient,efficient,True
101,905930,out,337,29358,35,3274,87.11572700296736,9.71513353115727,efficient,efficient,True
102,906412,out,315,17472,35,2901,55.46666666666667,9.209523809523809,efficient,efficient,True
103,945286,out,6880,146643,34,135047,21.31438953488372,19.62892441860465,efficient,efficient,True
104,892028,out,1337,30672,34,24003,22.94091249065071,17.952879581151834,efficient,efficient,True
105,902532,out,867,73500,34,16496,84.77508650519032,19.02652825836217,efficient,efficient,True
106,913938,out,408,16474,34,9573,40.377450980392155,23.46323529411765,efficient,efficient,True
107,925826,out,510,36741,34,9152,72.04117647058824,17.945098039215686,efficient,efficient,True
108,891166,out,231,59361,34,3859,256.97402597402595,16.705627705627705,efficient,efficient,True
109,902748,out,2542,66444,33,55604,26.138473642800943,21.87411487018096,efficient,efficient,True
110,902774,out,1109,63063,33,27396,56.864743011722275,24.703336339044185,efficient,efficient,True
111,937854,out,553,21374,33,11895,38.65099457504521,21.50994575045208,efficient,efficient,True
112,900352,out,307,21356,33,4408,69.56351791530945,14.35830618892508,efficient,efficient,True
113,924958,out,215,15987,33,3252,74.35813953488372,15.125581395348837,efficient,efficient,True
114,929428,out,23754,277118,32,356078,11.666161488591396,14.990233223878084,efficient,efficient,True
115,945322,out,4775,234281,32,101641,49.064083769633505,21.28607329842932,efficient,efficient,True
116,945290,out,3373,59233,32,83350,17.560924992588202,24.71093981618737,efficient,efficient,True
117,925828,out,429,27900,32,7332,65.03496503496504,17.09090909090909,efficient,efficient,True
118,891152,out,273,67034,32,5157,245.54578754578753,18.89010989010989,efficient,efficient,True
119,932836,out,305,28598,32,4624,93.76393442622951,15.160655737704918,efficient,efficient,True
120,929426,out,11189,267101,31,207005,23.871749039234963,18.50075967468049,efficient,efficient,True
121,945316,out,2575,207782,31,50472,80.69203883495146,19.600776699029126,efficient,efficient,True
122,945314,out,1763,118478,31,37233,67.20249574588769,21.119115144639817,efficient,efficient,True
123,937752,out,1616,69141,31,30727,42.785272277227726,19.014232673267326,efficient,efficient,True
124,937888,out,972,31391,31,24877,32.29526748971193,25.593621399176953,efficient,efficient,True
125,937902,out,899,46260,31,23027,51.45717463848721,25.614015572858733,efficient,efficient,True
126,937780,out,783,27736,31,20267,35.42273307790549,25.883780332056194,efficient,efficient,True
127,891160,out,370,37994,31,7138,102.68648648648649,19.291891891891893,efficient,efficient,True
128,930914,out,314,10463,31,5947,33.32165605095541,18.93949044585987,efficient,efficient,True
129,924948,out,238,19442,31,4945,81.6890756302521,20.777310924369747,efficient,efficient,True
130,924356,out,262,14421,31,2757,55.041984732824424,10.522900763358779,efficient,efficient,True
131,907986,out,447,12838,31,2194,28.72035794183445,4.908277404921701,efficient,efficient,True
132,939376,out,1075,108634,30,20604,101.05488372093023,19.166511627906978,efficient,efficient,True
133,939222,out,873,55783,30,18861,63.89805269186712,21.604810996563575,efficient,efficient,True
134,937708,out,648,25313,30,16320,39.06327160493827,25.185185185185187,efficient,efficient,True
135,937760,out,727,21712,30,14501,29.86519944979367,19.946354883081156,efficient,efficient,True
136,941384,out,655,54100,30,14194,82.59541984732824,21.670229007633587,efficient,efficient,True
